"date","sst"
2023-11-01,0.2376
2023-11-02,0.2373
2023-11-03,0.2392
2023-11-04,0.2396
2023-11-05,0.2412
2023-11-06,0.2406
2023-11-07,0.2409
2023-11-08,0.2408
2023-11-09,0.2414
2023-11-10,0.2421
2023-11-11,0.2419
2023-11-12,0.2413
2023-11-13,0.2419
2023-11-14,0.2444
2023-11-15,0.2449
2023-11-16,0.2477
2023-11-17,0.246
2023-11-18,0.2464
2023-11-19,0.2478
2023-11-20,0.2473
2023-11-21,0.2476
2023-11-22,0.2472
2023-11-23,0.2476
2023-11-24,0.2468
2023-11-25,0.2475
2023-11-26,0.2482
2023-11-27,0.2484
2023-11-28,0.2501
2023-11-29,0.2537
2023-11-30,0.2549
2023-12-01,0.2539
2023-12-02,0.2555
2023-12-03,0.2579
2023-12-04,0.2617
2023-12-05,0.2614
2023-12-06,0.261
2023-12-07,0.2594
2023-12-08,0.2578
2023-12-09,0.2581
2023-12-10,0.2589
2023-12-11,0.2571
2023-12-12,0.2575
2023-12-13,0.2582
2023-12-14,0.2595
2023-12-15,0.2605
2023-12-16,0.2622
2023-12-17,0.2656
2023-12-18,0.265
2023-12-19,0.2661
2023-12-20,0.267
2023-12-21,0.2694
2023-12-22,0.2708
2023-12-23,0.2707
2023-12-24,0.2704
2023-12-25,0.271
2023-12-26,0.2701
2023-12-27,0.2699
2023-12-28,0.2711
2023-12-29,0.2739
2023-12-30,0.275
2023-12-31,0.2764
2024-01-01,0.2753
2024-01-02,0.2765
2024-01-03,0.2787
2024-01-04,0.2802
2024-01-05,0.2801
2024-01-06,0.2786
2024-01-07,0.2774
2024-01-08,0.277
2024-01-09,0.2773
2024-01-10,0.2782
2024-01-11,0.2787
2024-01-12,0.2776
2024-01-13,0.2792
2024-01-14,0.2798
2024-01-15,0.2811
2024-01-16,0.2831
2024-01-17,0.2838
2024-01-18,0.284
2024-01-19,0.2872
2024-01-20,0.2876
2024-01-21,0.2883
2024-01-22,0.2889
2024-01-23,0.287
2024-01-24,0.2876
2024-01-25,0.2856
2024-01-26,0.2874
2024-01-27,0.288
2024-01-28,0.2881
2024-01-29,0.2914
2024-01-30,0.2911
2024-01-31,0.291
2024-02-01,0.2872
2024-02-02,0.286
2024-02-03,0.2866
2024-02-04,0.2869
2024-02-05,0.2889
2024-02-06,0.2897
2024-02-07,0.2891
2024-02-08,0.2866
2024-02-09,0.2865
2024-02-10,0.2857
2024-02-11,0.2861
2024-02-12,0.2862
2024-02-13,0.2858
2024-02-14,0.2846
2024-02-15,0.286
2024-02-16,0.2847
2024-02-17,0.2854
2024-02-18,0.2847
2024-02-19,0.2834
2024-02-20,0.2852
2024-02-21,0.2846
2024-02-22,0.2868
2024-02-23,0.2876
2024-02-24,0.2864
2024-02-25,0.2891
2024-02-26,0.2864
2024-02-27,0.2858
2024-02-28,0.2859
2024-02-29,0.2854
2024-03-01,0.2855
2024-03-02,0.2858
2024-03-03,0.2855
2024-03-04,0.2858
2024-03-05,0.2856
2024-03-06,0.2837
2024-03-07,0.2827
2024-03-08,0.2812
2024-03-09,0.2793
2024-03-10,0.2787
2024-03-11,0.2781
2024-03-12,0.2768
2024-03-13,0.2747
2024-03-14,0.276
2024-03-15,0.2757
2024-03-16,0.2746
2024-03-17,0.2736
2024-03-18,0.2744
2024-03-19,0.2761
2024-03-20,0.2763
2024-03-21,0.2756
2024-03-22,0.2755
2024-03-23,0.2746
2024-03-24,0.2734
2024-03-25,0.274
2024-03-26,0.2748
2024-03-27,0.2746
2024-03-28,0.2749
2024-03-29,0.2748
2024-03-30,0.2744
2024-03-31,0.2734
2024-04-01,0.2731
2024-04-02,0.273
2024-04-03,0.2733
2024-04-04,0.2725
2024-04-05,0.2731
2024-04-06,0.2726
2024-04-07,0.2722
2024-04-08,0.2703
2024-04-09,0.2717
2024-04-10,0.2673
2024-04-11,0.2663
2024-04-12,0.2658
2024-04-13,0.2655
2024-04-14,0.2655
2024-04-15,0.2645
2024-04-16,0.2634
2024-04-17,0.2639
2024-04-18,0.2637
2024-04-19,0.2644
2024-04-20,0.2643
2024-04-21,0.2621
2024-04-22,0.2609
2024-04-23,0.2597
2024-04-24,0.258
2024-04-25,0.2578
2024-04-26,0.2562
